pdbId	structure	stoichiometry	symmetry
2A45	bio	A	C1
2A46	bio	A4	D2
2A47	bio	A4	D2
2A48	bio	A4	D2
2A49	bio	A	C1
2A4A	bio	A	C1
2A4C	bio	A2	C2
2A4D	bio	A2	C2
2A4E	bio	A2	C2
2A4F	bio	A2	C2
2A4H	bio	A2	C2
2A4J	bio	A2	C2
2A4K	bio	A2	C2
2A4L	bio	A	C1
2A4M	bio	A2	C2
2A4N	bio	A2	C2
2A4O	bio	A	C1
2A4Q	bio	AB	C1
2A4T	bio	A	C1
2A4V	bio	A	C1
2A4W	bio	A	C1
2A4X	bio	A	C1
2A4Z	bio	A2	C2
3A40	bio	X	C1
3A42	bio	A	C1
3A43	bio	A	C1
3A44	bio	A2	C2
3A45	bio	A	C1
3A46	bio	D	C1
3A47	bio	A	C1
3A4A	bio	A	C1
3A4C	bio	A	C1
3A4D	bio	A2	C2
3A4E	bio	A2	C2
3A4F	bio	A2	C2
3A4G	bio	A	C1
3A4H	bio	A	C1
3A4I	bio	A2	C2
3A4J	bio	A2	C2
3A4K	bio	A2E2F2	C2
3A4L	bio	A2	C2
3A4M	bio	A2	C2
3A4N	bio	A2	C2
3A4O	bio	X	C1
3A4P	bio	A	C1
3A4R	bio	A	C1
3A4S	bio	A	C1
3A4T	bio	A	C1
3A4U	bio	A2B2	C2
3A4V	bio	A2	C2
3A4W	bio	A	C1
3A4X	bio	A	C1
3A4Y	bio	A2	C2
3A4Z	bio	A	C1
4A46	bio	A2	C2
4A47	bio	A	C1
4A48	bio	A	C1
4A49	bio	A	C1
4A4A	bio	A	C1
4A4B	bio	C	C1
4A4C	bio	A2B2C2	C2
4A4D	bio	A	C1
4A4E	bio	A	C1
4A4F	bio	A	C1
4A4G	bio	A	C1
4A4H	bio	A	C1
4A4I	bio	A2	C2
4A4J	bio	A	C1
4A4K	bio	A	C1
4A4L	bio	A	C1
4A4M	bio	AB	C1
4A4O	bio	A	C1
4A4P	bio	A	C1
4A4Q	bio	A2	C2
4A4R	bio	A2	C2
4A4S	bio	A2	C2
4A4T	bio	A2	C2
4A4U	bio	A2	C2
4A4V	bio	A	C1
4A4W	bio	A	C1
4A4X	bio	A	C1
4A4Y	bio	A2	C2
4A4Z	bio	A	C1
5A42	bio	A	C1
5A44	bio	A	C1
5A4H	bio	A	C1
1A50	bio	A2B2	C2
1A51	bio	A2B2	C2
1A52	bio	A4	D2
1A53	bio	A	C1
1A54	bio	A	C1
1A55	bio	A	C1
1A56	bio	A	C1
1A57	bio	A	C1
1A58	bio	A	C1
1A59	bio	A2	C2
1A5A	bio	A2B2	C2
1A5B	bio	A2B2	C2
1A5C	bio	A4	D2
1A5D	bio	A	C1
1A5E	bio	A	C1
1A5F	bio	LH	C1
1A5G	bio	I	C1
1A5H	bio	CA	C1
1A5I	bio	A	C1
1A5J	bio	A	C1
1A5K	bio	A3B3C3	C3
1A5L	bio	A3B3C3	C3
1A5M	bio	A3B3C3	C3
1A5N	bio	A3B3C3	C3
1A5O	bio	A3B3C3	C3
1A5P	bio	A2	C2
1A5Q	bio	A2	C2
1A5R	bio	A2	C2
1A5S	bio	A2B2	C2
1A5T	bio	A	C1
1A5U	bio	A4	D2
1A5V	bio	A2	C2
1A5W	bio	A2	C2
1A5X	bio	A2	C2
1A5Y	bio	A	C1
1A5Z	bio	A2	C2
2A50	bio	A2B2	C2
2A51	bio	A2B2	C2
2A52	bio	AB	C1
2A53	bio	A2B2	C2
2A54	bio	A2B2	C2
2A55	bio	A2B2	C2
2A56	bio	AB	C1
2A57	bio	A5	C5
2A58	bio	A5	C5
2A59	bio	A5	C5
2A5A	bio	A2	C2
2A5B	bio	A2	C2
2A5C	bio	A2	C2
2A5D	bio	AB	C1
2A5E	bio	AB	C1
2A5F	bio	AB	C1
2A5G	bio	AB	C1
2A5H	bio	A4	D2
2A5I	bio	A2	C2
2A5K	bio	A2	C2
2A5L	bio	A4	D2
2A5M	bio	A4	D2
2A5P	bio	A4	D2
2A5R	bio	A4	D2
1CCI	bio	A	C1
1CCJ	bio	A	C1
1CCK	bio	A	C1
1CCL	bio	A	C1
1CCP	bio	A	C1
1CCR	bio	A	C1
1CCS	bio	A	C1
1CCT	bio	A	C1
1CCU	bio	A	C1
1CCW	bio	A2B2	C2
1CCZ	bio	A	C1
2CC0	bio	A	C1
2CC1	bio	A	C1
2CC2	bio	A3	C3
2CC3	bio	A2	C2
2CC6	bio	A3	C3
2CC7	bio	A3	C3
2CC8	bio	A3	C3
2CC9	bio	A3	C3
2CCA	bio	A2	C2
2CCB	bio	A3	C3
2CCC	bio	A3	C3
2CCD	bio	A2	C2
2CCE	bio	A	C1
2CCF	bio	A	C1
2CCG	bio	A2	C2
2CCH	bio	E	C1
2CCI	bio	F	C1
2CCJ	bio	A2	C2
2CCK	bio	A2	C2
2CCM	bio	A	C1
2CCN	bio	A	C1
2CCP	bio	A	C1
2CCQ	bio	A	C1
2CCR	bio	A	C1
2CCS	bio	A	C1
2CCT	bio	A	C1
2CCU	bio	A	C1
2CCV	bio	A	C1
2CCW	bio	A2	C2
2CCY	bio	A2	C2
2CCZ	bio	A2	C2
3CC0	bio	A	C1
3CC1	bio	A2	C2
3CC2	bio	A2	C2
3CC4	bio	A2	C2
3CC5	bio	C	C1
3CC6	bio	A	C1
3CC7	bio	A	C1
3CC8	bio	A2	C2
3CC9	bio	A2	C2
3CCB	bio	A2	C2
3CCC	bio	A2	C2
3CCD	bio	A	C1
3CCE	bio	A	C1
3CCF	bio	A2	C2
3CCG	bio	A2	C2
3CCH	bio	C	C1
3CCJ	bio	C	C1
3CCK	bio	A2	C2
3CCL	bio	A2	C2
3CCM	bio	A2	C2
3CCN	bio	A	C1
3CCP	bio	A	C1
3CCQ	bio	A	C1
3CCR	bio	A	C1
2A5S	bio	A	C1
2A5T	bio	A	C1
2A5V	bio	A4	D2
2A5W	bio	A	C1
2A5X	bio	A	C1
2A5Y	bio	A	C1
2A5Z	bio	A3	C3
3A50	bio	A	C1
3A51	bio	A	C1
3A52	bio	A2	C2
3A54	bio	A	C1
3A55	bio	A	C1
3A56	bio	A	C1
3A57	bio	A	C1
3A58	bio	AB	C1
3A59	bio	A	C1
3A5A	bio	A	C1
3A5B	bio	A	C1
3A5C	bio	A	C1
3A5D	bio	A	C1
3A5E	bio	A	C1
3A5F	bio	A4	D2
3A5G	bio	A	C1
3A5I	bio	A	C1
3A5J	bio	A	C1
3A5K	bio	A	C1
3A5L	bio	S	C1
3A5M	bio	S	C1
3A5N	bio	SC	C1
3A5O	bio	S	C1
3A5P	bio	A2	C2
3A5Q	bio	A2	C2
3A5R	bio	A2	C2
3A5S	bio	A2	C2
3A5T	bio	D	C1
3A5U	bio	A4	D2
3A5V	bio	A	C1
3A5W	bio	A10	D5
3A5X	bio	A10	D5
3A5Y	bio	A2	C2
3A5Z	bio	A2B2	C2
4A50	bio	A	C1
4A51	bio	A	C1
4A52	bio	A	C1
4A53	bio	A	C1
4A54	bio	A	C1
4A55	bio	AB	C1
4A56	bio	A2	C2
4A57	bio	A2	C2
4A59	bio	A2	C2
4A5G	bio	A	C1
4A5K	bio	A	C1
4A5L	bio	A2	C2
4A5M	bio	A2	C2
4A5N	bio	A2	C2
4A5O	bio	A2	C2
4A5P	bio	A9	C9
4A5Q	bio	A9	C9
4A5R	bio	A2	C2
4A5S	bio	A2	C2
4A5T	bio	S	C1
4A5U	bio	A2B2	C2
4A5V	bio	A2B2	C2
4A5W	bio	A	C1
4A5X	bio	AC	C1
4A5Y	bio	A	C1
4A5Z	bio	A2	C2
5A5U	bio	A2	C2
5A5W	bio	A	C1
5A5Y	bio	A	C1
5A5Z	bio	A2	C2
1A60	bio	A2	C2
1A61	bio	I	C1
1A62	bio	A	C1
1A63	bio	A	C1
1A64	bio	A2	C2
1A65	bio	A	C1
1A66	bio	A	C1
1A67	bio	A	C1
1A68	bio	A	C1
1A69	bio	A6	D3
1A6A	bio	C	C1
1A6B	bio	C	C1
1A6C	bio	A	C1
1A6D	bio	A4B4	C4
1A6E	bio	A4B4	C4
1A6F	bio	A	C1
1A6G	bio	A	C1
1A6H	bio	A	C1
1A6I	bio	A2	C2
1A6J	bio	A	C1
1A6K	bio	A	C1
1A6L	bio	A	C1
1A6M	bio	A	C1
1A6N	bio	A	C1
1A6P	bio	A2	C2
1A6Q	bio	A	C1
1A6R	bio	A6	D3
1A6S	bio	A6	D3
1A6T	bio	A	C1
1A6U	bio	L	C1
1A6V	bio	LH	C1
1A6W	bio	LH	C1
1A6X	bio	LH	C1
1A6Y	bio	A	C1
1A6Z	bio	AB	C1
2A61	bio	A2	C2
2A62	bio	A2	C2
2A63	bio	A2	C2
2A64	bio	A	C1
2A65	bio	A	C1
2A66	bio	A	C1
2A67	bio	A2	C2
2A68	bio	A2	C2
2A69	bio	A2	C2
2A6A	bio	A2	C2
2A6B	bio	A2	C2
2A6C	bio	A2	C2
2A6D	bio	P	C1
2A6E	bio	A2	C2
2A6H	bio	A2	C2
2A6I	bio	P	C1
2A6J	bio	AB	C1
2A6L	bio	A2	C2
2A6M	bio	A2	C2
2A6N	bio	A2	C2
2A6O	bio	C2A2	C2
2A6P	bio	A2	C2
2A6Q	bio	A2	C2
2A6R	bio	A2	C2
2A6S	bio	A2	C2
2A6T	bio	A	C1
2A6U	bio	A2	C2
2A6V	bio	A	C1
2A6W	bio	A	C1
2A6X	bio	A	C1
2A6Y	bio	A	C1
2A6Z	bio	A	C1
3A60	bio	A2	C2
3A61	bio	A	C1
3A62	bio	A	C1
3A64	bio	A	C1
3A65	bio	A2	C2
3A66	bio	A2	C2
3A67	bio	Y	C1
3A68	bio	A24	O
3A69	bio	A24	O
3A6B	bio	L2H2Y2	C2
3A6C	bio	L2H2Y2	C2
3A6D	bio	A6	D3
3A6E	bio	A6	D3
3A6F	bio	A6	D3
3A6G	bio	A6	D3
3A6H	bio	A6	D3
3A6J	bio	A6	D3
3A6K	bio	A6	D3
3A6L	bio	A6	D3
3A6M	bio	A2	C2
3A6N	bio	A2	C2
3A6O	bio	A	C1
3A6P	bio	AC	C1
3A6Q	bio	A2	C2
3A6R	bio	A2	C2
3A6S	bio	A2	C2
3A6T	bio	A	C1
3A6U	bio	A	C1
3A6V	bio	A2	C2
3A6Z	bio	A2	C2
4A60	bio	A	C1
4A61	bio	A2	C2
4A62	bio	A2C2	C2
4A65	bio	A2	C2
4A66	bio	A	C1
4A67	bio	A	C1
4A68	bio	A	C1
4A69	bio	AC	C1
4A6A	bio	A3	C3
4A6B	bio	A2	C2
4A6C	bio	A2	C2
4A6D	bio	A3	C3
4A6E	bio	A2	C2
4A6F	bio	A	C1
4A6G	bio	A8	D4
4A6H	bio	A	C1
4A6J	bio	A	C1
4A6K	bio	A	C1
4A6L	bio	A2	C2
4A6O	bio	A	C1
4A6P	bio	A	C1
4A6Q	bio	A2	C2
4A6R	bio	A2	C2
4A6S	bio	A	C1
4A6T	bio	A2	C2
4A6U	bio	A2	C2
4A6V	bio	A	C1
4A6W	bio	A	C1
4A6X	bio	A	C1
4A6Y	bio	AB	C1
4A6Z	bio	A	C1
5A60	bio	A	C1
5A61	bio	A	C1
5A63	bio	A	C1
5A64	bio	A	C1
5A65	bio	A2	C2
5A66	bio	A	C1
5A67	bio	A	C1
5A68	bio	A	C1
5A69	bio	A2	C2
5A6A	bio	A2	C2
5A6B	bio	A	C1
5A6E	bio	A	C1
5A6F	bio	A	C1
5A6G	bio	A	C1
5A6J	bio	A2	C2
5A6K	bio	A2	C2
5A6N	bio	A2	C2
5A6O	bio	A2	C2
5A6P	bio	A2	C2
1A70	bio	A	C1
1A71	bio	A2	C2
1A72	bio	A2	C2
1A73	bio	C2D2A2	C2
1A74	bio	C2A2	C2
1A75	bio	A	C1
1A76	bio	A	C1
1A77	bio	A	C1
1A78	bio	A2	C2
1A79	bio	A2	C2
1A7A	bio	A4	D2
1A7B	bio	A2	C2
1A7C	bio	A	C1
1A7D	bio	A	C1
1A7E	bio	A	C1
1A7F	bio	A	C1
1A7G	bio	E2	C2
1A7H	bio	A	C1
1A7I	bio	A	C1
1A7J	bio	A2	C2
1A7K	bio	A4	D2
1A7L	bio	A	C1
1A7M	bio	A	C1
1A7N	bio	LH	C1
1A7O	bio	L	C1
1A7P	bio	LH	C1
1A7Q	bio	LH	C1
1A7R	bio	LH	C1
1A7S	bio	A	C1
1A7T	bio	A	C1
1A7U	bio	A	C1
1A7V	bio	A	C1
1A7W	bio	A2	C2
1A7X	bio	A	C1
1A7Y	bio	A	C1
1A7Z	bio	A	C1
2A70	bio	A	C1
2A71	bio	A	C1
2A72	bio	A2	C2
2A73	bio	AB	C1
2A74	bio	ABC	C1
2A75	bio	A	C1
2A77	bio	LH	C1
2A79	bio	A4B4C4	C4
2A7A	bio	A4	D2
2A7B	bio	A	C1
2A7C	bio	A	C1
2A7D	bio	A	C1
2A7E	bio	S	C1
2A7F	bio	A	C1
2A7G	bio	E	C1
2A7H	bio	A	C1
2A7I	bio	X	C1
2A7J	bio	A	C1
2A7K	bio	A3	C3
2A7L	bio	A2	C2
2A7M	bio	A	C1
2A7N	bio	A4	C4
2A7O	bio	A4	C4
2A7P	bio	A4	C4
2A7Q	bio	A2	C2
2A7R	bio	A4	C4
2ILY	bio	A	C1
2ILZ	bio	A	C1
3IL0	bio	A2	C2
3IL1	bio	B	C1
3IL2	bio	A2C2	C2
3IL3	bio	A2	C2
3IL4	bio	A2	C2
3IL5	bio	A2	C2
3IL6	bio	A2	C2
3IL7	bio	A2	C2
3IL8	bio	A2	C2
3IL9	bio	A2	C2
3ILA	bio	A	C1
3ILB	bio	A	C1
3ILC	bio	A	C1
3ILD	bio	A	C1
3ILE	bio	A	C1
3ILF	bio	A	C1
3ILG	bio	A2B2	C2
3ILH	bio	A	C1
3ILI	bio	A	C1
3ILJ	bio	A	C1
3ILK	bio	A2	C2
3ILL	bio	A	C1
3ILM	bio	A2	C2
3ILN	bio	A	C1
3ILO	bio	A	C1
3ILP	bio	AB	C1
3ILQ	bio	CD	C1
3ILR	bio	A	C1
3ILS	bio	A	C1
3ILT	bio	B	C1
3ILU	bio	B	C1
3ILW	bio	A	C1
3ILX	bio	A2	C2
3ILY	bio	A	C1
4IL0	bio	A2	C2
4IL1	bio	A	C1
4IL2	bio	A2	C2
4IL3	bio	A	C1
4IL4	bio	A5	C5
4IL5	bio	A2	C2
4IL6	bio	A2	C2
4IL7	bio	A	C1
4IL8	bio	A	C1
4IL9	bio	A5	C5
4ILA	bio	A5	C5
4ILB	bio	A5	C5
4ILC	bio	A5	C5
4ILD	bio	A	C1
4ILE	bio	A	C1
4ILF	bio	A2	C2
4ILG	bio	C	C1
4ILH	bio	A	C1
4ILI	bio	A	C1
4ILJ	bio	A	C1
4ILK	bio	A2	C2
4ILL	bio	A2C2	C2
4ILM	bio	A2C2	C2
4ILO	bio	A2	C2
4ILQ	bio	A2	C2
4ILR	bio	A2	C2
4ILS	bio	A2	C2
4ILT	bio	A	C1
4ILU	bio	A2	C2
4ILV	bio	A	C1
4ILW	bio	AD	C1
4ILX	bio	A	C1
4ILY	bio	A2	C2
4ILZ	bio	A	C1
1IM0	bio	A	C1
1IM2	bio	A6	C6
1IM3	bio	D	C1
1IM4	bio	A	C1
1IM5	bio	A	C1
1IM6	bio	A	C1
1IM8	bio	A4	D2
1IM9	bio	D2	C2
1IMA	bio	A	C1
1IMB	bio	A	C1
1IMC	bio	A2	C2
1IMD	bio	A	C1
1IME	bio	A2	C2
1IMF	bio	A2	C2
1IMH	bio	C	C1
1IMJ	bio	A	C1
1IMR	bio	A	C1
1IMS	bio	A	C1
1IMV	bio	A2	C2
1IMX	bio	A	C1
2IM0	bio	A	C1
2IM1	bio	A	C1
2IM2	bio	A	C1
2IM3	bio	A	C1
2IM5	bio	A	C1
2IM8	bio	A	C1
2IM9	bio	A	C1
2IMA	bio	A2	C2
2IMB	bio	A2	C2
2IMC	bio	A2	C2
2IMD	bio	A2	C2
2IME	bio	A2	C2
2IMF	bio	A2	C2
2IMG	bio	A	C1
2IMH	bio	A2	C2
2IMI	bio	A2	C2
2IMJ	bio	A2	C2
2IMK	bio	A2	C2
2IML	bio	A2	C2
2IMM	bio	A2	C2
2IMO	bio	A2	C2
2IMP	bio	A4	D2
2IMQ	bio	X	C1
2IMR	bio	A	C1
2IMS	bio	A	C1
2IMT	bio	A	C1
2IMW	bio	P	C1
2IMZ	bio	A	C1
3IM0	bio	A	C1
3IM1	bio	A	C1
3IM2	bio	A2	C2
3IM3	bio	A2	C2
3IM5	bio	A	C1
3IM6	bio	A	C1
3IM7	bio	A	C1
3IM8	bio	A	C1
3IM9	bio	A	C1
3IMA	bio	AB	C1
3IMB	bio	F	C1
3IMC	bio	A2	C2
3IMD	bio	A2	C2
3IME	bio	A2	C2
3IMF	bio	A4	D2
3IMG	bio	A2	C2
3IMH	bio	A4	C4
3IMI	bio	A2	C2
3IMJ	bio	A2	C2
3IMK	bio	A	C1
3IML	bio	A2	C2
3IMM	bio	A	C1
3IMN	bio	A	C1
3IMO	bio	A2	C2
3IMP	bio	A2	C2
3IMQ	bio	AJ	C1
3IMX	bio	A	C1
3IMY	bio	A	C1
4IM0	bio	A2	C2
4IM2	bio	A2	C2
4IM3	bio	A2	C2
4IM4	bio	A	C1
4IM6	bio	A	C1
4IM7	bio	A	C1
4IM8	bio	A	C1
4IM9	bio	A	C1
4IMA	bio	A4	D2
4IMB	bio	A	C1
4IMC	bio	A4	D2
4IMD	bio	A4	D2
4IME	bio	A4	D2
4IMF	bio	A4	D2
4IMG	bio	A4	D2
4IMH	bio	A2	C2
4IMI	bio	F	C1
4IMJ	bio	F	C1
4IMK	bio	AC	C1
4IML	bio	AB	C1
4IMM	bio	A	C1
4IMN	bio	A	C1
4IMO	bio	A	C1
4IMP	bio	A2	C2
4IMQ	bio	A2B2	C2
4IMR	bio	A4	D2
4IMS	bio	A2	C2
4IMT	bio	A2	C2
4IMU	bio	A2	C2
4IMV	bio	A	C1
4IMW	bio	A2	C2
4IMX	bio	A2	C2
4IMY	bio	ABG	C1
4IMZ	bio	A2B2	C2
1IN0	bio	A	C1
1IN4	bio	A	C1
1IN5	bio	A	C1
1IN6	bio	A	C1
1IN7	bio	A	C1
1IN8	bio	A	C1
1INC	bio	A	C1
1IND	bio	LH	C1
1INE	bio	LH	C1
1INF	bio	A4	C4
1ING	bio	A4	C4
1INH	bio	A4	C4
1INI	bio	A2	C2
1INJ	bio	A2	C2
1INL	bio	A2	C2
1INN	bio	A2	C2
1INO	bio	A3	C3
1INP	bio	A	C1
1INQ	bio	ABC	C1
1INR	bio	A2	C2
1INU	bio	A	C1
1INV	bio	A4	C4
1INW	bio	A	C1
1INX	bio	A	C1
1INY	bio	A	C1
2IN0	bio	A	C1
2IN3	bio	A	C1
2IN4	bio	A	C1
2IN5	bio	A2	C2
2IN6	bio	A2	C2
2IN8	bio	A	C1
2IN9	bio	A	C1
2INB	bio	A2	C2
2INC	bio	A2B2C2	C2
2IND	bio	A2B2C2	C2
2INE	bio	A	C1
2INF	bio	A2	C2
2ING	bio	X	C1
2INN	bio	L	C1
2INP	bio	L	C1
2INQ	bio	A	C1
2INR	bio	A2	C2
2INS	bio	AB	C1
2INT	bio	A2	C2
2INU	bio	A	C1
2INV	bio	A3	C3
2INW	bio	A	C1
2INX	bio	A2	C2
2INY	bio	A3	C3
2INZ	bio	A	C1
3IN0	bio	A2	C2
3IN1	bio	A2	C2
3IN2	bio	A2	C2
3IN3	bio	A	C1
3IN4	bio	A	C1
3IN5	bio	AT	C1
3IN6	bio	A2	C2
3IN7	bio	A2	C2
3IN8	bio	A2	C2
3IN9	bio	A	C1
3INA	bio	A	C1
3INB	bio	A2C2	C2
3INC	bio	A2B2	C2
3IND	bio	A	C1
3INE	bio	A	C1
3INF	bio	A	C1
3ING	bio	A2	C2
3INH	bio	A	C1
3INJ	bio	A4	D2
3INK	bio	C	C1
3INL	bio	A4	D2
3INM	bio	A2	C2
3INN	bio	A2	C2
3INO	bio	A	C1
3INP	bio	A6	D3
3INQ	bio	A2	C2
3INR	bio	A2	C2
3INS	bio	A2B2	C2
3INT	bio	A2	C2
3INU	bio	HL	C1
3INV	bio	A2	C2
3INW	bio	A	C1
3INX	bio	A	C1
3INY	bio	A3	C3
3INZ	bio	A6	C6
4IN0	bio	A	C1
4IN1	bio	A	C1
4IN2	bio	A	C1
4IN3	bio	A2B2	C2
4IN4	bio	A	C1
4IN5	bio	LMH	C1
4IN6	bio	LMH	C1
4IN7	bio	HLM	C1
4IN9	bio	A	C1
4INA	bio	A2	C2
4INB	bio	A	C1
4INC	bio	A2	C2
4IND	bio	A5	C5
4INE	bio	A2	C2
4INF	bio	A2	C2
4INH	bio	A	C1
4INI	bio	A2	C2
4INJ	bio	A2	C2
4INK	bio	A3	C3
4INL	bio	A2	C2
4INN	bio	A	C1
4INO	bio	A	C1
4INP	bio	A	C1
4INQ	bio	A	C1
4INR	bio	A	C1
4INS	bio	A2B2	C2
4INT	bio	A2B2	C2
4INU	bio	A2B2	C2
4INW	bio	A	C1
4INX	bio	A	C1
4INZ	bio	A	C1
1IO0	bio	A	C1
1IO1	bio	A	C1
1IO2	bio	A	C1
1IO3	bio	A	C1
1IO4	bio	D	C1
1IO5	bio	A	C1
1IO7	bio	A	C1
1IO8	bio	A	C1
1IO9	bio	A	C1
1IOA	bio	A	C1
1IOB	bio	A	C1
1IOC	bio	A	C1
1IOD	bio	G2	C2
1IOE	bio	AL	C1
1IOF	bio	A4	D2
1IOI	bio	A4	D2
1IOK	bio	A7	C7
1IOL	bio	A2	C2
1IOM	bio	A2	C2
1ION	bio	A	C1
1IOO	bio	A	C1
1IOP	bio	A	C1
1IOQ	bio	A	C1
1IOR	bio	A	C1
1IOS	bio	A	C1
1IOT	bio	A	C1
1IOV	bio	A2	C2
1IOW	bio	A2	C2
1IOZ	bio	A	C1
2IO0	bio	A	C1
2IO1	bio	AB	C1
2IO2	bio	AB	C1
2IO3	bio	AB	C1
2IO4	bio	AB	C1
2IO5	bio	ABC	C1
2IO6	bio	A2	C2
2IO7	bio	A2	C2
2IO8	bio	A2	C2
2IO9	bio	A2	C2
2IOA	bio	A2	C2
2IOB	bio	A2	C2
2IOC	bio	A2	C2
2IOD	bio	A	C1
2IOF	bio	AK	C1
2IOG	bio	A2	C2
2IOH	bio	A2	C2
2IOI	bio	A	C1
2IOJ	bio	A	C1
2IOK	bio	A2	C2
2IOL	bio	A	C1
2IOM	bio	A	C1
2ION	bio	A	C1
2IOO	bio	A	C1
2IOP	bio	A2	C2
2IOQ	bio	A2	C2
2IOR	bio	A	C1
2IOS	bio	A	C1
2IOT	bio	A	C1
2IOU	bio	A3	C3
2IOV	bio	A	C1
2IOY	bio	A	C1
3IO0	bio	A3	C3
3IO1	bio	A4	D2
3IO2	bio	A	C1
3IO3	bio	A	C1
3IO4	bio	A	C1
3IO5	bio	A	C1
3IO6	bio	A	C1
3IO7	bio	A	C1
3IO8	bio	A2B2	C2
3IO9	bio	AB	C1
3IOB	bio	A2	C2
3IOC	bio	A2	C2
3IOD	bio	A2	C2
3IOE	bio	A2	C2
3IOF	bio	A	C1
3IOG	bio	A	C1
3IOH	bio	A2	C2
3IOI	bio	A2	C2
3IOJ	bio	A2	C2
3IOK	bio	A	C1
3IOL	bio	A	C1
3IOM	bio	A3	C3
3ION	bio	A	C1
3IOP	bio	A	C1
3IOQ	bio	A	C1
3IOR	bio	A	C1
3IOS	bio	A	C1
3IOT	bio	A	C1
3IOU	bio	A	C1
3IOV	bio	A	C1
3IOW	bio	A	C1
3IOX	bio	A	C1
3IOY	bio	A2	C2
3IOZ	bio	A	C1
4IO0	bio	A	C1
4IO1	bio	A2	C2
4IO2	bio	A	C1
4IO3	bio	A	C1
4IO4	bio	A	C1
4IO5	bio	A	C1
4IO6	bio	A	C1
4IO7	bio	A	C1
4IO8	bio	A	C1
4IO9	bio	A	C1
1N5C	bio	A	C1
1N5D	bio	A	C1
1N5I	bio	A2	C2
1N5J	bio	A2	C2
1N5K	bio	A2	C2
1N5L	bio	A2	C2
1N5M	bio	A2	C2
1N5N	bio	A	C1
1N5O	bio	X	C1
1N5Q	bio	A2	C2
1N5R	bio	A2	C2
1N5S	bio	A2	C2
1N5T	bio	A2	C2
1N5U	bio	A	C1
1N5V	bio	A2	C2
1N5W	bio	A2B2C2	C2
1N5X	bio	A2	C2
1N5Y	bio	A2	C2
1N5Z	bio	A	C1
3N50	bio	A2	C2
3N51	bio	A	C1
3N52	bio	A2	C2
3N54	bio	B2	C2
3N55	bio	A6B6	D3
3N56	bio	A	C1
3N57	bio	A	C1
3N58	bio	A4	D2
3N59	bio	A12	T
3N5A	bio	A	C1
3N5B	bio	A3B3	C3
3N5C	bio	A2	C2
3N5D	bio	A	C1
3N5E	bio	ABD	C1
3N5F	bio	A2	C2
3N5G	bio	A2	C2
3N5H	bio	F2	C2
3N5I	bio	A4	D2
3N5J	bio	F2	C2
3N5K	bio	A	C1
3N5L	bio	A	C1
3N5M	bio	A4	D2
3N5N	bio	X	C1
3N5O	bio	A2	C2
3N5P	bio	A2	C2
3N5Q	bio	A2	C2
3N5R	bio	A2	C2
3N5S	bio	A2	C2
3N5T	bio	A2	C2
3N5U	bio	A	C1
3N5V	bio	A2	C2
3N5W	bio	A2	C2
3N5X	bio	A2	C2
3N5Y	bio	A2	C2
3N5Z	bio	A2	C2
4N53	bio	ABCD	C1
4N54	bio	A4	D2
4N56	bio	BCA	C1
4N57	bio	A	C1
4N58	bio	A	C1
4N59	bio	A	C1
4N5A	bio	A	C1
4N5B	bio	A	C1
4N5C	bio	A	C1
4N5D	bio	A2	C2
4N5E	bio	B	C1
4N5F	bio	A2	C2
4N5G	bio	A4	D2
4N5H	bio	X	C1
4N5I	bio	X	C1
4N5J	bio	AB	C1
4N5K	bio	AB	C1
4N5L	bio	A4	D2
4N5M	bio	A4	D2
4N5N	bio	A4	D2
4N5P	bio	E	C1
4N5Q	bio	A	C1
4N5R	bio	A	C1
4N5S	bio	B2C2A2	C2
4N5T	bio	A	C1
4N5V	bio	A2	C2
4N5X	bio	A	C1
4N5Y	bio	AB	C1
4N5Z	bio	AB	C1
1N60	bio	A2B2C2	C2
1N61	bio	A2B2C2	C2
1N62	bio	A2B2C2	C2
1N63	bio	A2B2C2	C2
1N64	bio	P	C1
1N68	bio	A	C1
1N69	bio	A2	C2
1N6A	bio	A	C1
1N6B	bio	A2	C2
1N6C	bio	A	C1
1N6D	bio	A2G2	C2
1N6E	bio	A2B2	C2
1N6F	bio	A2	C2
1N6H	bio	A	C1
1N6I	bio	A	C1
1N6J	bio	C	C1
1N6K	bio	A	C1
1N6L	bio	A	C1
1N6M	bio	A	C1
1N6N	bio	A	C1
1N6O	bio	A	C1
1N6P	bio	A	C1
1N6Q	bio	A	C1
1N6R	bio	A	C1
1N6X	bio	A	C1
1N6Y	bio	A	C1
3N60	bio	A2	C2
3N61	bio	A2	C2
3N62	bio	A2	C2
3N63	bio	A2	C2
3N64	bio	A2	C2
3N65	bio	A2	C2
3N66	bio	A2	C2
3N67	bio	A2	C2
3N68	bio	A2	C2
3N69	bio	A2	C2
3N6A	bio	A2	C2
3N6B	bio	A2	C2
3N6C	bio	A2	C2
3N6D	bio	A2	C2
3N6E	bio	A2	C2
3N6F	bio	A2	C2
3N6H	bio	A4	D2
3N6I	bio	A	C1
3N6J	bio	A2	C2
3N6K	bio	F2	C2
3N6L	bio	A	C1
3N6M	bio	A	C1
3N6N	bio	A	C1
3N6O	bio	A	C1
3N6Q	bio	A4	C4
3N6R	bio	A6B6	D3
3N6S	bio	AC	C1
3N6T	bio	A2	C2
3N6U	bio	A2	C2
3N6V	bio	A	C1
3N6W	bio	A2	C2
